,«· ﬁ—Ì— «·ﬂ·Ì ·—”„ «·Ê«—œ ·’‰œÊﬁ «·‰ﬁœ «·œÊ·Ì,,,,,,
"April 17, 2019",,,,,,,
TAR_HSC_NB1,,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
88021100,5267374.,785971752.89,,256993303.18,,432077.36
49119910,54505.49,2056734.37,,419798.99,,166308.11
90181100,221438.1,31955592.9,,28051921.74,,264102.44
62105000,14355,3171.6,,1016,,2766.6
32073000,617490.5,2835835.71,,1009209.74,,618853.98
83024900,3586931.,27523498.86,,8190645.62,,20755594.38
85229000,57652.69,3119500.49,,871831.09,,1072125.45
48102290,272814.3,2062688.47,,369231.19,,1073291.07
85043100,1025780.,18991364.58,,6977661.73,,2482143.27
56072100,789211,18346023.59,,2643172.87,,6591737.15
90241000,231874.0,12491224.56,,1607429.58,,985956.5
61099000,70611.5,1724418.88,,211382.49,,1574167.43
28259000,5149031.,12940430.48,,4032737.63,,2558507.97
87163900,8782219,1890882137.01,,354891993.58,,176106091.57
18063100,895758.3,8218615.38,,1954010.19,,9356806.42
29362700,213169,10966007.92,,2219515.97,,2337630.4
84131900,1448786.,56462118.8,,19389189.1,,4551215.17
38119000,5480043.,246041772.49,,77934559.22,,8008683.75
70051000,6659267,190011045.75,,22955727.19,,128170331.68
90314900,25894.8,3650564,,1609814.25,,756098.75
04021010,1979980,3513647417.47,,926610208.04,,1685223406.61
70191900,2941659.,21838802.37,,8006095.03,,9004627.26
84663000,74651.75,1841660.48,,352348.26,,330084.12
21039000,5072000.,45980846.77,,10435044.48,,38347215.12
58021100,2111,61502.16,,20639,,49054.81
76151900,519347,4063671.96,,1741530.86,,1928948.98
94054000,5731372.,108400411.2,,28938721.13,,27113477.02
84189190,1688567,446266751.51,,82928460.02,,105918929.14
,,,Page 4,, of 221,
TAR_HSC_NB1,VIT_WGT,VIT_STV,,VIT_INV_AMT_FCX,,TAX_AMT
66039000,57282,335259.11,,103659.7,,277982.63
84715000,53248.94,7897784.41,,3512299.72,,1180879.65
84879000,1033489.,20997995.71,,3833365.87,,3268579.94
73158100,281192,2857632.47,,861576.4,,1437895.74
40103900,697691.9,10711386.66,,2499604.31,,4023757.97
39012000,1030886,1120423162.36,,269919464.96,,235523854.06
78060000,3394144,22440150.82,,7084548.78,,75278.96
90319000,32824.13,6135967.36,,982611.87,,1766183.21
85443000,2153823.,52903349.23,,13841910.91,,26072895.32
76012000,719229.2,13512538.99,,4513856.31,,3017317.84
85168000,1246540.,26572228.27,,6309117.69,,15701083.54
